"collection"	"year"	"title"	"author"	"journal"	"doi"
"SDIV"	2020	"Biodiversity conservation through the lens of metacommunity ecology"	"Chase, Jonathan M., Jeliazkov, Alienor, Ladouceur, Emma and Viana, Duarte S."	"Annals of the New York Academy of Sciences"	"10.1111/nyas.14378"
"SDIV"	2020	"Directed species loss reduces community productivity in a subtropical forest biodiversity experiment"	"Chen, Yuxin, Huang, Yuanyuan, Niklaus, Pascal A., Castro-Izaguirre, Nadia, Clark, Adam Thomas, Bruelheide, Helge, Ma, Keping and Schmid, Bernhard"	"Nature Ecology & Evolution"	"10.1038/s41559-020-1127-4"
"SDIV"	2020	"Predicting species abundances in a grassland biodiversity experiment: Trade-offs between model complexity and generality"	"Clark, A. T., Turnbull, L. A., Tredennick, A., Allan, E., Harpole, W. S., Mayfield, M. M., Soliveres, S., Barry, K., Eisenhauer, N., de Kroon, H., Rosenbaum, B., Wagg, C., Weigelt, A., Feng, Y. H., Roscher, C. and Schmid, B."	"Journal of Ecology"	"10.1111/1365-2745.13316"
"SDIV"	2020	"Analysis of monitoring data where butterflies fly year-round"	"Comay, Orr, Ben Yehuda, Oz, Benyamini, Dubi, Schwartz-Tzachor, Racheli, Pe'er, Israel, Melochna, Tal and Pe’er, Guy"	"Ecological Applications"	"10.1002/eap.2196"
"SDIV"	2020	"RivFishTIME: A global database of fish time‐series to study global change ecology in riverine systems"	"Comte, Lise, Carvajal‐Quintero, Juan, Tedesco, Pablo A., Giam, Xingli, Brose, Ulrich, Erős, Tibor, Filipe, Ana F., Fortin, Marie‐Josée, Irving, Katie, Jacquet, Claire, Larsen, Stefano, Sharma, Sapna, Ruhi, Albert, Becker, Fernando G., Casatti, Lilian, Castaldelli, Giuseppe, Dala‐Corte, Renato B., Davenport, Stephen R., Franssen, Nathan R., García‐Berthou, Emili, Gavioli, Anna, Gido, Keith B., Jimenez‐Segura, Luz, Leitão, Rafael P., McLarney, Bill, Meador, Jason, Milardi, Marco, Moffatt, David B., Occhi, Thiago V. T., Pompeu, Paulo S., Propst, David L., Pyron, Mark, Salvador, Gilberto N., Stefferud, Jerome A., Sutela, Tapio, Taylor, Christopher, Terui, Akira, Urabe, Hirokazu, Vehanen, Teppo, Vitule, Jean R. S., Zeni, Jaquelini O., Olden, Julian D. and Bahn, Volker"	"Global Ecology and Biogeography"	"10.1111/geb.13210"
"SDIV"	2020	"Towards a bridging concept for undesirable resilience in social-ecological systems"	"Dornelles, André Z., Boyd, Emily, Nunes, Richard J., Asquith, Mike, Boonstra, Wiebren J., Delabre, Izabela, Denney, J. Michael, Grimm, Volker, Jentsch, Anke, Nicholas, Kimberly A., Schröter, Matthias, Seppelt, Ralf, Settele, Josef, Shackelford, Nancy, Standish, Rachel J., Yengoh, Genesis Tambang and Oliver, Tom H."	"Global Sustainability"	"10.1017/sus.2020.15"
"SDIV"	2020	"Widespread decline in Central European plant diversity across six decades"	"Eichenberg, David, Bowler, Diana E., Bonn, Aletta, Bruelheide, Helge, Grescho, Volker, Harter, David, Jandt, Ute, May, Rudolf, Winter, Marten and Jansen, Florian"	"Global Change Biology"	"10.1111/gcb.15447"
"SDIV"	2020	"Effects of nonnative species on the stability of riverine fish communities"	"Erős, Tibor, Comte, Lise, Filipe, Ana Filipa, Ruhi, Albert, Tedesco, Pablo A., Brose, Ulrich, Fortin, Marie-Josée, Giam, Xingli, Irving, Katie, Jacquet, Claire, Larsen, Stefano, Sharma, Sapna and Olden, Julian D."	"Ecography"	"10.1111/ecog.04985"
"SDIV"	2020	"Drivers of future alien species impacts: An expert-based assessment"	"Essl, F., Lenzner, B., Bacher, S., Bailey, S., Capinha, C., Daehler, C., Dullinger, S., Genovesi, P., Hui, C., Hulme, P. E., Jeschke, J. M., Katsanevakis, S., Kuhn, I., Leung, B., Liebhold, A., Liu, C. L., MacIsaac, H. J., Meyerson, L. A., Nunez, M. A., Pauchard, A., Pysek, P., Rabitsch, W., Richardson, D. M., Roy, H. E., Ruiz, G. M., Russell, J. C., Sanders, N. J., Sax, D. F., Scalera, R., Seebens, H., Springborn, M., Turbelin, A., van Kleunen, M., von Holle, B., Winter, M., Zenni, R. D., Mattsson, B. J. and Roura-Pascual, N."	"Global Change Biology"	"10.1111/gcb.15199"
"SDIV"	2020	"LCVP, The Leipzig catalogue of vascular plants, a new taxonomic reference list for all known vascular plants"	"Freiberg, Martin, Winter, Marten, Gentile, Alessandro, Zizka, Alexander, Muellner-Riehl, Alexandra Nora, Weigelt, Alexandra and Wirth, Christian"	"Scientific Data"	"10.1038/s41597-020-00702-z"
"SDIV"	2020	"Cascading effects of climate variability on the breeding success of an edge population of an apex predator"	"Gangoso, Laura, Viana, Duarte S., Dokter, Adriaan M., Shamoun-Baranes, Judy, Figuerola, Jordi, Barbosa, Sergio A. and Bouten, Willem"	"Journal of Animal Ecology"	"10.1111/1365-2656.13304"
"SDIV"	2020	"Blind spots in global soil biodiversity and ecosystem function research"	"Guerra, C. A., Heintz-Buschart, A., Sikorski, J., Chatzinotas, A., Guerrero-Ramirez, N., Cesarz, S., Beaumelle, L., Rillig, M. C., Maestre, F. T., Delgado-Baquerizo, M., Buscot, F., Overmann, J., Patoine, G., Phillips, H. R. P., Winter, M., Wubet, T., Kusel, K., Bardgett, R. D., Cameron, E. K., Cowan, D., Grebenc, T., Marin, C., Orgiazzi, A., Singh, B. K., Wall, D. H. and Eisenhauer, N."	"Nature Communications"	"10.1038/s41467-020-17688-2, ARTN 3870"
"SDIV"	2020	"Global root traits (GRooT) database"	"Guerrero‐Ramírez, Nathaly R., Mommer, Liesje, Freschet, Grégoire T., Iversen, Colleen M., McCormack, M. Luke, Kattge, Jens, Poorter, Hendrik, Plas, Fons, Bergmann, Joana, Kuyper, Thom W., York, Larry M., Bruelheide, Helge, Laughlin, Daniel C., Meier, Ina C., Roumet, Catherine, Semchenko, Marina, Sweeney, Christopher J., Ruijven, Jasper, Valverde‐Barrantes, Oscar J., Aubin, Isabelle, Catford, Jane A., Manning, Peter, Martin, Adam, Milla, Rubén, Minden, Vanessa, Pausas, Juli G., Smith, Stuart W., Soudzilovskaia, Nadejda A., Ammer, Christian, Butterfield, Bradley, Craine, Joseph, Cornelissen, Johannes H. C., Vries, Franciska T., Isaac, Marney E., Kramer, Koen, König, Christian, Lamb, Eric G., Onipchenko, Vladimir G., Peñuelas, Josep, Reich, Peter B., Rillig, Matthias C., Sack, Lawren, Shipley, Bill, Tedersoo, Leho, Valladares, Fernando, Bodegom, Peter, Weigelt, Patrick, Wright, Justin P., Weigelt, Alexandra and Schrodt, Franziska"	"Global Ecology and Biogeography"	"10.1111/geb.13179"
"SDIV"	2020	"Latitudinal patterns of alien plant invasions"	"Guo, Qinfeng, Cade, Brian S., Dawson, Wayne, Essl, Franz, Kreft, Holger, Pergl, Jan, van Kleunen, Mark, Weigelt, Patrick, Winter, Marten and Pyšek, Petr"	"Journal of Biogeography"	"10.1111/jbi.13943"
"SDIV"	2020	"Declining abundance of beetles, moths and caddisflies in the Netherlands"	"Hallmann, Caspar A., Zeegers, Theo, van Klink, Roel, Vermeulen, Rikjan, van Wielink, Paul, Spijkers, Henk, van Deijk, Jurriën, van Steenis, Wouter and Jongejans, Eelke"	"Insect Conservation and Diversity"	"10.1111/icad.12377"
"SDIV"	2020	"Unravelling the Phylogenomic Relationships of the Most Diverse African Palm Genus <em>Raphia</em> (Calamoideae, Arecaceae)"	"Helmstetter, Andrew J., Kamga, Suzanne Mogue, Bethune, Kevin, Lautenschläger, Thea, Zizka, Alexander, Bacon, Christine D., Wieringa, Jan J., Stauffer, Fred, Antonelli, Alexandre, Sonké, Bonaventure and Couvreur, Thomas L.P."	"bioRxiv"	"10.1101/2020.03.09.984351"
"SDIV"	2020	"A global database for metacommunity ecology, integrating species, traits, environment and space"	"Jeliazkov, Alienor, Mijatovic, Darko, Chantepie, Stéphane, Andrew, Nigel, Arlettaz, Raphaël, Barbaro, Luc, Barsoum, Nadia, Bartonova, Alena, Belskaya, Elena, Bonada, Núria, Brind’Amour, Anik, Carvalho, Rodrigo, Castro, Helena, Chmura, Damian, Choler, Philippe, Chong-Seng, Karen, Cleary, Daniel, Cormont, Anouk, Cornwell, William, de Campos, Ramiro, de Voogd, Nicole, Doledec, Sylvain, Drew, Joshua, Dziock, Frank, Eallonardo, Anthony, Edgar, Melanie J., Farneda, Fábio, Hernandez, Domingo Flores, Frenette-Dussault, Cédric, Fried, Guillaume, Gallardo, Belinda, Gibb, Heloise, Gonçalves-Souza, Thiago, Higuti, Janet, Humbert, Jean-Yves, Krasnov, Boris R., Saux, Eric Le, Lindo, Zoe, Lopez-Baucells, Adria, Lowe, Elizabeth, Marteinsdottir, Bryndis, Martens, Koen, Meffert, Peter, Mellado-Díaz, Andres, Menz, Myles H. M., Meyer, Christoph F. J., Miranda, Julia Ramos, Mouillot, David, Ossola, Alessandro, Pakeman, Robin, Pavoine, Sandrine, Pekin, Burak, Pino, Joan, Pocheville, Arnaud, Pomati, Francesco, Poschlod, Peter, Prentice, Honor C., Purschke, Oliver, Raevel, Valerie, Reitalu, Triin, Renema, Willem, Ribera, Ignacio, Robinson, Natalie, Robroek, Bjorn, Rocha, Ricardo, Shieh, Sen-Her, Spake, Rebecca, Staniaszek-Kik, Monika, Stanko, Michal, Tejerina-Garro, Francisco Leonardo, Braak, Cajo ter, Urban, Mark C., Klink, Roel van, Villéger, Sébastien, Wegman, Ruut, Westgate, Martin J., Wolff, Jonas, Żarnowiec, Jan, Zolotarev, Maxim and Chase, Jonathan M."	"Scientific Data"	"10.1038/s41597-019-0344-7"
"SDIV"	2020	"A history of extreme disturbance affects the relationship between the abundances of nitrifiers in soil"	"Jurburg, Stephanie D., Assemien, Féline L., Beaumelle, Léa, Salles, Joana F., Van Elsas, Jan Dirk and Le Roux, Xavier"	"Biology and Fertility of Soils"	"10.1007/s00374-020-01491-8"
"SDIV"	2020	"The archives are half-empty: an assessment of the availability of microbial community sequencing data"	"Jurburg, Stephanie D., Konzack, Maximilian, Eisenhauer, Nico and Heintz-Buschart, Anna"	"Communications Biology"	"10.1038/s42003-020-01204-9"
"SDIV"	2020	"Soil microbial composition varies in response to coffee agroecosystem management"	"Jurburg, Stephanie D., Shek, Katherine L. and McGuire, Krista"	"FEMS Microbiology Ecology"	"10.1093/femsec/fiaa164"
"SDIV"	2020	"Diversity and coexistence are influenced by time-dependent species interactions in a predator–prey system"	"Karakoç, Canan, Clark, Adam Thomas and Chatzinotas, Antonis"	"Ecology Letters"	"10.1111/ele.13500"
"SDIV"	2020	"Quantifying interregional flows of multiple ecosystem services – A case study for Germany"	"Kleemann, Janina, Schröter, Matthias, Bagstad, Kenneth J., Kuhlicke, Christian, Kastner, Thomas, Fridman, Dor, Schulp, Catharina J. E., Wolff, Sarah, Martínez-López, Javier, Koellner, Thomas, Arnhold, Sebastian, Martín-López, Berta, Marques, Alexandra, Lopez-Hoffman, Laura, Liu, Jianguo, Kissinger, Meidad, Guerra, Carlos Antonio and Bonn, Aletta"	"Global Environmental Change"	"10.1016/j.gloenvcha.2020.102051"
"SDIV"	2020	"Source pools and disharmony of the world's island floras"	"König, Christian, Weigelt, Patrick, Taylor, Amanda, Stein, Anke, Dawson, Wayne, Essl, Franz, Pergl, Jan, Pyšek, Petr, van Kleunen, Mark, Winter, Marten, Chatelain, Cyrille, Wieringa, Jan J., Krestov, Pavel and Kreft, Holger"	"Ecography"	"10.1111/ecog.05174"
"SDIV"	2020	"Unifying the Basic Models of Ecology to Be More Complete and Easier to Teach"	"Lehman, C., Loberg, S., Clark, A. T. and Schmitter, D."	"Bioscience"	"10.1093/biosci/biaa013"
"SDIV"	2020	"Urban expansion in the Atlantic Forest: applying the Nature Futures Framework to develop a conceptual model and future scenarios"	"Lembi, Rafael Cavalcanti, Cronemberger, Cecilia, Picharillo, Caroline, Koffler, Sheina, Sena, Pedro H. Albuquerque, Felappi, Jéssica Francine, Moraes, Alice Ramos de, Arshad, Adnan, Santos, Jessie Pereira dos and Mansur, Andressa Vianna"	"Biota Neotropica"	"10.1590/1676-0611-bn-2019-0904"
"SDIV"	2020	"Pervasive shifts in forest dynamics in a changing world"	"McDowell, Nate G., Allen, Craig D., Anderson-Teixeira, Kristina, Aukema, Brian H., Bond-Lamberty, Ben, Chini, Louise, Clark, James S., Dietze, Michael, Grossiord, Charlotte, Hanbury-Brown, Adam, Hurtt, George C., Jackson, Robert B., Johnson, Daniel J., Kueppers, Lara, Lichstein, Jeremy W., Ogle, Kiona, Poulter, Benjamin, Pugh, Thomas A. M., Seidl, Rupert, Turner, Monica G., Uriarte, Maria, Walker, Anthony P. and Xu, Chonggang"	"Science"	"10.1126/science.aaz9463"
"SDIV"	2020	"Connecting governance interventions to ecosystem services provision: A social-ecological network approach"	"Metzger, Jean Paul, Fidelman, Pedro, Sattler, Claudia, Schröter, Barbara, Maron, Martine, Eigenbrod, Felix, Fortin, Marie-Josée, Hohlenwerger, Camila and Rhodes, Jonathan R."	"People and Nature"	"10.1002/pan3.10172"
"SDIV"	2020	"A new comprehensive trait database of European and Maghreb butterflies, Papilionoidea"	"Middleton-Welling, Joseph, Dapporto, Leonardo, García-Barros, Enrique, Wiemers, Martin, Nowicki, Piotr, Plazio, Elisa, Bonelli, Simona, Zaccagno, Michele, Šašić, Martina, Liparova, Jana, Schweiger, Oliver, Harpke, Alexander, Musche, Martin, Settele, Josef, Schmucki, Reto and Shreeve, Tim"	"Scientific Data"	"10.1038/s41597-020-00697-7"
"SDIV"	2020	"Complexity revealed in the greening of the Arctic"	"Myers-Smith, Isla H., Kerby, Jeffrey T., Phoenix, Gareth K., Bjerke, Jarle W., Epstein, Howard E., Assmann, Jakob J., John, Christian, Andreu-Hayles, Laia, Angers-Blondin, Sandra, Beck, Pieter S. A., Berner, Logan T., Bhatt, Uma S., Bjorkman, Anne D., Blok, Daan, Bryn, Anders, Christiansen, Casper T., Cornelissen, J. Hans C., Cunliffe, Andrew M., Elmendorf, Sarah C., Forbes, Bruce C., Goetz, Scott J., Hollister, Robert D., de Jong, Rogier, Loranty, Michael M., Macias-Fauria, Marc, Maseyk, Kadmiel, Normand, Signe, Olofsson, Johan, Parker, Thomas C., Parmentier, Frans-Jan W., Post, Eric, Schaepman-Strub, Gabriela, Stordal, Frode, Sullivan, Patrick F., Thomas, Haydn J. D., Tømmervik, Hans, Treharne, Rachael, Tweedie, Craig E., Walker, Donald A., Wilmking, Martin and Wipf, Sonja"	"Nature Climate Change"	"10.1038/s41558-019-0688-1"
"SDIV"	2020	"Biodiversity policy beyond economic growth"	"Otero, Iago, Farrell, Katharine N., Pueyo, Salvador, Kallis, Giorgos, Kehoe, Laura, Haberl, Helmut, Plutzar, Christoph, Hobson, Peter, García-Márquez, Jaime, Rodríguez-Labajos, Beatriz, Martin, Jean-Louis, Erb, Karl-Heinz, Schindler, Stefan, Nielsen, Jonas, Skorin, Teuta, Settele, Josef, Essl, Franz, Gómez-Baggethun, Erik, Brotons, Lluís, Rabitsch, Wolfgang, Schneider, François and Pe'er, Guy"	"Conservation Letters"	"10.1111/conl.12713"
"SDIV"	2020	"Contrasting Impacts of Cultivated Exotics on the Functional Diversity of Domestic Gardens in Three Regions with Different Aridity"	"Padullés Cubino, Josep, Borowy, Dorothy, Knapp, Sonja, Lososová, Zdeňka, Ricotta, Carlo, Siebert, Stefan, Cavender-Bares, Jeannine, Sol, Daniel, Jeliazkov, Alienor and Swan, Christopher"	"Ecosystems"	"10.1007/s10021-020-00556-x"
"SDIV"	2020	"The EU’s Common Agricultural Policy Could Be Spent Much More Efficiently to Address Challenges for Farmers, Climate, and Biodiversity"	"Pe’er, Guy and Lakner, Sebastian"	"One Earth"	"10.1016/j.oneear.2020.08.004"
"SDIV"	2020	"Action needed for the EU Common Agricultural Policy to address sustainability challenges"	"Pe'er, Guy, Bonn, Aletta, Bruelheide, Helge, Dieker, Petra, Eisenhauer, Nico, Feindt, Peter, Hagedorn, Gregor, Hansjürgens, Bernd, Herzon, Irina, Lomba, Ângela, Marquard, Elisabeth, Moreira, Francisco, Nitsch, Heike, Oppermann, Rainer, Perino, Andrea, Röder, Norbert, Schleyer, Christian, Schindler, Stefan, Wolf, Christine and Lakner, Sebastian"	"People and Nature"	"10.1002/pan3.10080"
"SDIV"	2020	"Effects of Natura 2000 on nontarget bird and butterfly species based on citizen science data"	"Pellissier, V., Schmucki, R., Pe'er, G., Aunins, A., Brereton, T. M., Brotons, L., Carnicer, J., Chodkiewicz, T., Chylarecki, P., del Moral, J. C., Escandell, V., Evans, D., Foppen, R., Harpke, A., Heliölä, J., Herrando, S., Kuussaari, M., Kühn, E., Lehikoinen, A., Lindström, Å., Moshøj, C. M., Musche, M., Noble, D., Oliver, T. H., Reif, J., Richard, D., Roy, D. B., Schweiger, O., Settele, J., Stefanescu, C., Teufelbauer, N., Touroult, J., Trautmann, S., van Strien, A. J., van Swaay, C. A. M., van Turnhout, C., Vermouzek, Z., Voříšek, P., Jiguet, F. and Julliard, R."	"Conservation Biology"	"10.1111/cobi.13434"
"SDIV"	2020	"Selective extinction against redundant species buffers functional diversity"	"Pimiento, Catalina, Bacon, Christine D., Silvestro, Daniele, Hendy, Austin, Jaramillo, Carlos, Zizka, Alexander, Meyer, Xavier and Antonelli, Alexandre"	"Proceedings of the Royal Society B: Biological Sciences"	"10.1098/rspb.2020.1162"
"SDIV"	2020	"Ocean planning for species on the move provides substantial benefits and requires few trade-offs"	"Pinsky, M. L., Rogers, L. A., Morley, J. W. and Frölicher, T. L."	"Science Advances"	"10.1126/sciadv.abb8428"
"SDIV"	2020	"Differential effects of habitat loss on occupancy patterns of the eastern green lizard Lacerta viridis at the core and periphery of its distribution range"	"Prieto-Ramirez, Ana María, Röhler, Leonie, Cord, Anna F., Pe’er, Guy, Rödder, Dennis and Henle, Klaus"	"PLOS ONE"	"10.1371/journal.pone.0229600"
